"","ISO","year","gdp","pop","count_ccmt","count_energy","count_solar","count_wind","count_batteries","brown_patents"
"1","AFG",1995,NA,16418912,0,0,0,0,0,NA
"2","AFG",1996,NA,17106595,0,0,0,0,0,NA
"3","AFG",1997,NA,17788819,0,0,0,0,0,NA
"4","AFG",1998,NA,18493132,0,0,0,0,0,NA
"5","AFG",1999,NA,19262847,0,0,0,0,0,NA
"6","AFG",2000,NA,19542982,0,0,0,0,0,NA
"7","AFG",2001,NA,19688632,0,0,0,0,0,NA
"8","AFG",2002,451798704100,21000256,0,0,0,0,0,NA
"9","AFG",2003,491702820800,22645130,0,0,0,0,0,NA
"10","AFG",2004,498656078800,23553551,0,0,0,0,0,NA
"11","AFG",2005,554653734400,24411191,0,0,0,0,0,NA
"12","AFG",2006,584368771600,25442944,0,0,0,0,0,NA
"13","AFG",2007,665165465300,25903301,0,0,0,0,0,NA
"14","AFG",2008,691273102200,26427199,0,0,0,0,0,NA
"15","AFG",2009,839140071400,27385307,0,0,0,0,0,NA
"16","AFG",2010,959661073000,28189672,0,0,0,0,0,NA
"17","AFG",2011,963752633900,29249157,0,0,0,0,0,NA
"18","AFG",2012,1086653136600,30466479,0,0,0,0,0,NA
"19","AFG",2013,1147513804100,31541209,1,1,0,0,0,NA
"20","AFG",2014,1178778315300,32716210,0.167,0.167,0.167,0,0,NA
"21","AFG",2015,1195886097800,33753499,0,0,0,0,0,NA
"22","AFG",2016,1222916881100,34636207,0,0,0,0,0,NA
"23","AFG",2017,1255287530100,35643418,0,0,0,0,0,NA
"24","AFG",2018,1270215762500,36686784,0,0,0,0,0,NA
"25","AFG",2019,1319901565700,37769499,0,0,0,0,0,NA
"26","AFG",2020,1288869351100,38972230,0,0,0,0,0,NA
"27","AGO",1995,418350244600,13912253,0,0,0,0,0,NA
"28","AGO",1996,475013148600,14383350,0,0,0,0,0,NA
"29","AGO",1997,509566922500,14871146,0,0,0,0,0,NA
"30","AGO",1998,533471453100,15366864,0,0,0,0,0,NA
"31","AGO",1999,545109078000,15870753,0,0,0,0,0,NA
"32","AGO",2000,561760112000,16394062,0,0,0,0,0,NA
"33","AGO",2001,585387734200,16941587,0,0,0,0,0,NA
"34","AGO",2002,6.65385e+11,17516139,0,0,0,0,0,NA
"35","AGO",2003,685280011500,18124342,0,0,0,0,0,NA
"36","AGO",2004,760318172759.25,18771125,0,0,0,0,0,NA
"37","AGO",2005,874593994124.965,19450959,0,0,0,0,0,NA
"38","AGO",2006,975609600446.399,20162340,0,0,0,0,0,NA
"39","AGO",2007,1112292505468.94,20909684,0,0,0,0,0,NA
"40","AGO",2008,1236535578329.82,21691522,0,0,0,0,0,NA
"41","AGO",2009,1247169784303.46,22507674,0,0,0,0,0,NA
"42","AGO",2010,1.302025e+12,23364185,0,0,0,0,0,NA
"43","AGO",2011,1.347232e+12,24259111,0,0,0,0,0,NA
"44","AGO",2012,1.462314e+12,25188292,0,0,0,0,0,NA
"45","AGO",2013,1.534766e+12,26147002,0.5,0.5,0.5,0.5,0,NA
"46","AGO",2014,1.608781e+12,27128337,0,0,0,0,0,NA
"47","AGO",2015,1.623961e+12,28127721,0,0,0,0,0,NA
"48","AGO",2016,1.582061e+12,29154746,0,0,0,0,0,NA
"49","AGO",2017,1.579733e+12,30208628,0,0,0,0,0,NA
"50","AGO",2018,1.558938e+12,31273533,0,0,0,0,0,NA
"51","AGO",2019,1.54799e+12,32353588,0,0,0,0,0,NA
"52","AGO",2020,1.460711e+12,33428486,0,0,0,0,0,NA
"53","ALB",1995,564311381100,3187784,0,0,0,0,0,NA
"54","ALB",1996,615663713600,3168033,0,0,0,0,0,NA
